BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
07/26/2012,00:15,6105.6,10612.451,3792,20510.051
07/26/2012,00:30,6028.8,10378.202,3888,20295.002
07/26/2012,00:45,5875.2,10200.48,3840,19915.68
07/26/2012,01:00,5760,10043.617,3840,19643.617
07/26/2012,01:15,5644.8,9817.519,3792,19254.319
07/26/2012,01:30,5606.4,9702.24,3744,19052.64
07/26/2012,01:45,5491.2,9543.11,3648,18682.31
07/26/2012,02:00,5452.8,9464.827,3504,18421.627
07/26/2012,02:15,5376,9334.716,3456,18166.716
07/26/2012,02:30,5376,9243.252,3504,18123.252
07/26/2012,02:45,5299.2,9174.543,3408,17881.743
07/26/2012,03:00,5222.4,9105.391,3504,17831.791
07/26/2012,03:15,5222.4,9033.706,3552,17808.106
07/26/2012,03:30,5145.6,8930.502,3552,17628.102
07/26/2012,03:45,5107.2,8798.978,3408,17314.178
07/26/2012,04:00,5030.4,8690.969,3504,17225.369
07/26/2012,04:15,5107.2,8757.186,3456,17320.386
07/26/2012,04:30,5222.4,8880.33,3408,17510.73
07/26/2012,04:45,5376,9067.617,3552,17995.617
07/26/2012,05:00,5376,9202.78,3600,18178.78
07/26/2012,05:15,5606.4,9344.179,3600,18550.579
07/26/2012,05:30,5875.2,9597.736,3696,19168.936
07/26/2012,05:45,5990.4,9874.417,3744,19608.817
07/26/2012,06:00,5952,10096.311,3648,19696.311
07/26/2012,06:15,5721.6,10232.078,3600,19553.678
07/26/2012,06:30,5452.8,10088.006,3552,19092.806
07/26/2012,06:45,5260.8,10119.733,3600,18980.533
07/26/2012,07:00,5030.4,10039.444,3504,18573.844
07/26/2012,07:15,4953.6,10092.155,3408,18453.755
07/26/2012,07:30,4800,10426.867,3504,18730.867
07/26/2012,07:45,4761.6,10886.119,3552,19199.719
07/26/2012,08:00,4876.8,11542.268,3648,20067.068
07/26/2012,08:15,4915.2,12520.991,3792,21228.191
07/26/2012,08:30,5068.8,13504.335,3840,22413.135
07/26/2012,08:45,5145.6,14307.933,3888,23341.533
07/26/2012,09:00,5260.8,15218.289,4080,24559.089
07/26/2012,09:15,5299.2,15853.57,4128,25280.77
07/26/2012,09:30,5414.4,16278.018,4080,25772.418
07/26/2012,09:45,5529.6,16639.208,4128,26296.808
07/26/2012,10:00,5606.4,16857.507,4032,26495.907
07/26/2012,10:15,5568,17107.476,3936,26611.476
07/26/2012,10:30,5683.2,17360.137,4128,27171.337
07/26/2012,10:45,5760,17526.698,4176,27462.698
07/26/2012,11:00,5836.8,17511.168,4176,27523.968
07/26/2012,11:15,5836.8,17559.345,4320,27716.145
07/26/2012,11:30,5875.2,17714.057,4224,27813.257
07/26/2012,11:45,5798.4,17778.897,3984,27561.297
07/26/2012,12:00,5760,17776.123,3744,27280.123
07/26/2012,12:15,5721.6,17549.515,3456,26727.115
07/26/2012,12:30,5683.2,17677.267,3504,26864.467
07/26/2012,12:45,5683.2,17862.23,3552,27097.43
07/26/2012,13:00,5760,18103.028,3552,27415.028
07/26/2012,13:15,5875.2,18340.991,3936,28152.191
07/26/2012,13:30,5990.4,18671.909,4128,28790.309
07/26/2012,13:45,6028.8,18807.036,4032,28867.836
07/26/2012,14:00,6028.8,18932.157,3936,28896.957
07/26/2012,14:15,6028.8,19038.787,3984,29051.587
07/26/2012,14:30,6028.8,18911.214,4032,28972.014
07/26/2012,14:45,6105.6,18866.699,3984,28956.299
07/26/2012,15:00,6028.8,18768.711,3936,28733.511
07/26/2012,15:15,6028.8,18577.58,3840,28446.38
07/26/2012,15:30,6028.8,18542.572,3984,28555.372
07/26/2012,15:45,5952,18537.028,4032,28521.028
07/26/2012,16:00,5952,18340.426,4032,28324.426
07/26/2012,16:15,5875.2,18093.732,3984,27952.932
07/26/2012,16:30,5913.6,17835.412,3936,27685.012
07/26/2012,16:45,6028.8,17691.787,3888,27608.587
07/26/2012,17:00,6259.2,17721.14,3840,27820.34
07/26/2012,17:15,6412.8,17524.443,3792,27729.243
07/26/2012,17:30,6643.2,17524.84,3936,28104.04
07/26/2012,17:45,6988.8,17455.117,4080,28523.917
07/26/2012,18:00,7334.4,17172.756,4128,28635.156
07/26/2012,18:15,7603.2,17296.302,4080,28979.502
07/26/2012,18:30,7756.8,17259.721,4272,29288.521
07/26/2012,18:45,7910.4,17020.71,4368,29299.11
07/26/2012,19:00,7948.8,16560.558,4464,28973.358
07/26/2012,19:15,8025.6,16032.987,4512,28570.587
07/26/2012,19:30,8064,15619.897,4512,28195.897
07/26/2012,19:45,8064,15243.446,4512,27819.446
07/26/2012,20:00,8102.4,14888.685,4464,27455.085
07/26/2012,20:15,8179.2,14595.643,4464,27238.843
07/26/2012,20:30,8140.8,14432.597,4464,27037.397
07/26/2012,20:45,8179.2,14292.835,4416,26888.035
07/26/2012,21:00,8179.2,14111.817,4416,26707.017
07/26/2012,21:15,8179.2,13997.345,4464,26640.545
07/26/2012,21:30,7833.6,13601.111,4368,25802.711
07/26/2012,21:45,7641.6,13247.525,4320,25209.125
