BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
11/26/2012,00:15,5760,11697.934,3936,21393.934
11/26/2012,00:30,5644.8,11532.66,4032,21209.46
11/26/2012,00:45,5568,11306.715,3936,20810.715
11/26/2012,01:00,5491.2,11082.044,3936,20509.244
11/26/2012,01:15,5376,10882.727,3936,20194.727
11/26/2012,01:30,5299.2,10744.509,3888,19931.709
11/26/2012,01:45,5184,10588.412,3792,19564.412
11/26/2012,02:00,5068.8,10391.729,3648,19108.529
11/26/2012,02:15,5068.8,10328.968,3696,19093.768
11/26/2012,02:30,4992,10203.881,3696,18891.881
11/26/2012,02:45,4876.8,10033.247,3744,18654.047
11/26/2012,03:00,4800,9881.664,3792,18473.664
11/26/2012,03:15,4838.4,9889.54,3744,18471.94
11/26/2012,03:30,4800,9773.354,3792,18365.354
11/26/2012,03:45,4761.6,9729.163,3792,18282.763
11/26/2012,04:00,4684.8,9697.21,3744,18126.01
11/26/2012,04:15,4723.2,9727.2,3792,18242.4
11/26/2012,04:30,4876.8,9824.253,3792,18493.053
11/26/2012,04:45,5030.4,10024.241,3888,18942.641
11/26/2012,05:00,5107.2,10198.59,3984,19289.79
11/26/2012,05:15,5260.8,10347.663,3936,19544.463
11/26/2012,05:30,5452.8,10558.216,3936,19947.016
11/26/2012,05:45,5568,10777.455,4080,20425.455
11/26/2012,06:00,5491.2,10958.692,3984,20433.892
11/26/2012,06:15,5299.2,10888.191,3840,20027.391
11/26/2012,06:30,4953.6,10734.488,3696,19384.088
11/26/2012,06:45,4684.8,10447.993,3408,18540.793
11/26/2012,07:00,4416,10298.188,2976,17690.188
11/26/2012,07:15,4224,10566.836,2832,17622.836
11/26/2012,07:30,4185.6,10944.359,2640,17769.959
11/26/2012,07:45,4262.4,11551.831,2544,18358.231
11/26/2012,08:00,4454.4,12541.81,2688,19684.21
11/26/2012,08:15,4569.6,13816.519,2784,21170.119
11/26/2012,08:30,4723.2,15110.229,2976,22809.429
11/26/2012,08:45,4876.8,16350.645,3120,24347.445
11/26/2012,09:00,4915.2,17210.97,3216,25342.17
11/26/2012,09:15,5030.4,17793.014,3216,26039.414
11/26/2012,09:30,5068.8,18436.844,3168,26673.644
11/26/2012,09:45,5145.6,18807.271,3168,27120.871
11/26/2012,10:00,5260.8,19107.145,3072,27439.945
11/26/2012,10:15,5260.8,19385.507,2976,27622.307
11/26/2012,10:30,5376,19700.204,3168,28244.204
11/26/2012,10:45,5414.4,19971.66,3312,28698.06
11/26/2012,11:00,5491.2,20233.741,3216,28940.941
11/26/2012,11:15,5644.8,20508.919,3216,29369.719
11/26/2012,11:30,5683.2,20700.701,3216,29599.901
11/26/2012,11:45,5721.6,20811.167,3216,29748.767
11/26/2012,12:00,5721.6,20485.259,2928,29134.859
11/26/2012,12:15,5568,20031.625,2880,28479.625
11/26/2012,12:30,5491.2,19918.862,2880,28290.062
11/26/2012,12:45,5491.2,20093.671,2832,28416.871
11/26/2012,13:00,5452.8,20327.785,2832,28612.585
11/26/2012,13:15,5529.6,20470.844,3120,29120.444
11/26/2012,13:30,5568,20691.745,3120,29379.745
11/26/2012,13:45,5568,20769.796,3216,29553.796
11/26/2012,14:00,5568,20877.203,3168,29613.203
11/26/2012,14:15,5606.4,21017.208,3072,29695.608
11/26/2012,14:30,5606.4,20948.75,3216,29771.15
11/26/2012,14:45,5568,20721.803,3216,29505.803
11/26/2012,15:00,5568,20592.047,3168,29328.047
11/26/2012,15:15,5529.6,20426.315,3024,28979.915
11/26/2012,15:30,5529.6,20647.948,3072,29249.548
11/26/2012,15:45,5529.6,20548.444,3168,29246.044
11/26/2012,16:00,5491.2,20472.882,3072,29036.082
11/26/2012,16:15,5529.6,20281.105,3024,28834.705
11/26/2012,16:30,5529.6,20073.644,2976,28579.244
11/26/2012,16:45,5606.4,20019.524,2832,28457.924
11/26/2012,17:00,5644.8,19823.247,2784,28252.047
11/26/2012,17:15,5760,19622.241,2880,28262.241
11/26/2012,17:30,6528,20335.521,3216,30079.521
11/26/2012,17:45,7334.4,21003.268,3456,31793.668
11/26/2012,18:00,7718.4,21269.711,3504,32492.111
11/26/2012,18:15,7756.8,20983.925,3552,32292.725
11/26/2012,18:30,7833.6,20798.967,3552,32184.567
11/26/2012,18:45,7795.2,20330.959,3504,31630.159
11/26/2012,19:00,7833.6,19239.744,3648,30721.344
11/26/2012,19:15,7833.6,18788.115,3648,30269.715
11/26/2012,19:30,7872,18320.993,3600,29792.993
11/26/2012,19:45,8025.6,18121.164,3696,29842.764
11/26/2012,20:00,8025.6,17764.817,3648,29438.417
11/26/2012,20:15,8102.4,17367.884,3648,29118.284
11/26/2012,20:30,8140.8,17208.817,3600,28949.617
11/26/2012,20:45,8102.4,17003.617,3600,28706.017
11/26/2012,21:00,8102.4,16785.995,3504,28392.395
11/26/2012,21:15,7872,16410.619,3360,27642.619
11/26/2012,21:30,7718.4,15960.025,3264,26942.425
11/26/2012,21:45,7564.8,15500.625,3216,26281.425
11/26/2012,22:00,7372.8,15182.597,3120,25675.397
11/26/2012,22:15,7104,14696.83,3072,24872.83
11/26/2012,22:30,6950.4,14364.246,3024,24338.646
11/26/2012,22:45,6720,13163.41,2928,22811.41
11/26/2012,23:00,6489.6,12532.955,2880,21902.555
11/26/2012,23:15,6297.6,12207.092,2784,21288.692
11/26/2012,23:30,6144,11900.504,2784,20828.504
11/26/2012,23:45,5990.4,11612.054,2880,20482.454
11/27/2012,00:00,5875.2,11726.931,2784,20386.131
11/27/2012,00:15,5798.4,11912.031,2832,20542.431
11/27/2012,00:30,5721.6,11718.911,2640,20080.511
11/27/2012,00:45,5568,11454.958,2688,19710.958
11/27/2012,01:00,5452.8,11235.456,2640,19328.256
11/27/2012,01:15,5376,11064.985,2640,19080.985
11/27/2012,01:30,5260.8,10871.992,2640,18772.792
11/27/2012,01:45,5222.4,10833.723,2496,18552.123
11/27/2012,02:00,5107.2,10527.874,2496,18131.074
11/27/2012,02:15,5030.4,10288.409,2448,17766.809
11/27/2012,02:30,5030.4,10251.071,2448,17729.471
11/27/2012,02:45,4992,10079.674,2496,17567.674
11/27/2012,03:00,4876.8,10002.757,2448,17327.557
11/27/2012,03:15,4838.4,9961.013,2448,17247.413
11/27/2012,03:30,4838.4,9870.495,2400,17108.895
11/27/2012,03:45,4761.6,9812.649,2448,17022.249
11/27/2012,04:00,4723.2,9796.33,2496,17015.53
11/27/2012,04:15,4838.4,9926.817,2496,17261.217
11/27/2012,04:30,4953.6,10030.733,2544,17528.333
11/27/2012,04:45,5145.6,10147.02,2544,17836.62
11/27/2012,05:00,5260.8,10329.923,2592,18182.723
11/27/2012,05:15,5376,10551.472,2592,18519.472
11/27/2012,05:30,5568,10802.638,2592,18962.638
11/27/2012,05:45,5644.8,11074.336,2688,19407.136
11/27/2012,06:00,5568,11229.322,2688,19485.322
11/27/2012,06:15,5337.6,11096.484,2592,19026.084
11/27/2012,06:30,5068.8,10866.853,2544,18479.653
11/27/2012,06:45,4761.6,10629.766,2448,17839.366
11/27/2012,07:00,4492.8,10517.081,2400,17409.881
11/27/2012,07:15,4416,10635.365,2256,17307.365
11/27/2012,07:30,4339.2,11199.249,2160,17698.449
11/27/2012,07:45,4377.6,11840.979,2304,18522.579
11/27/2012,08:00,4531.2,12849.167,2304,19684.367
11/27/2012,08:15,4723.2,14093.413,2496,21312.613
11/27/2012,08:30,4838.4,14352.995,2688,21879.395
11/27/2012,08:45,5030.4,12954.711,2928,20913.111
11/27/2012,09:00,5107.2,10986.545,3072,19165.745
11/27/2012,09:15,5145.6,11314.457,2976,19436.057
11/27/2012,09:30,5184,10477.822,3024,18685.822
11/27/2012,09:45,5260.8,9233.115,3024,17517.915
11/27/2012,10:00,5145.6,9551.538,2736,17433.138
11/27/2012,10:15,4876.8,9769.459,2688,17334.259
11/27/2012,10:30,5376,9851.379,2976,18203.379
11/27/2012,10:45,5376,10005.757,3072,18453.757
11/27/2012,11:00,5529.6,10185.873,3168,18883.473
11/27/2012,11:15,5644.8,10324.837,3120,19089.637
11/27/2012,11:30,5606.4,10381.166,3120,19107.566
11/27/2012,11:45,5721.6,10497.01,3072,19290.61
11/27/2012,12:00,5760,10554.621,2784,19098.621
11/27/2012,12:15,5721.6,10376.317,2688,18785.917
11/27/2012,12:30,5644.8,10394.494,2640,18679.294
11/27/2012,12:45,5721.6,10453.75,2640,18815.35
11/27/2012,13:00,5721.6,10555.772,2688,18965.372
11/27/2012,13:15,5760,10667.84,2832,19259.84
11/27/2012,13:30,5836.8,10835.704,2880,19552.504
11/27/2012,13:45,5952,10871.829,2976,19799.829
11/27/2012,14:00,5952,10708.197,2976,19636.197
11/27/2012,14:15,5875.2,10639.141,2976,19490.341
11/27/2012,14:30,5836.8,10456.761,2928,19221.561
11/27/2012,14:45,5798.4,10442.579,2832,19072.979
11/27/2012,15:00,5721.6,9223.833,2688,17633.433
11/27/2012,15:15,5683.2,7464.56,2544,15691.76
11/27/2012,15:30,5606.4,7474.118,2640,15720.518
11/27/2012,15:45,5606.4,7987.19,2880,16473.59
11/27/2012,16:00,5568,9794.595,2880,18242.595
11/27/2012,16:15,5568,10042.207,2784,18394.207
11/27/2012,16:30,5644.8,10163.579,2784,18592.379
11/27/2012,16:45,5721.6,10027.134,2832,18580.734
11/27/2012,17:00,5644.8,9947.187,2688,18279.987
11/27/2012,17:15,5875.2,9882.74,2688,18445.94
11/27/2012,17:30,6336,10202.119,3024,19562.119
11/27/2012,17:45,7065.6,7994.799,3312,18372.399
11/27/2012,18:00,7564.8,11964.108,3360,22888.908
11/27/2012,18:15,7718.4,14207.79,3408,25334.19
11/27/2012,18:30,7718.4,13266.091,3456,24440.491
11/27/2012,18:45,7718.4,12837.542,3504,24059.942
11/27/2012,19:00,7756.8,13845.782,3600,25202.582
11/27/2012,19:15,7718.4,18192.075,3600,29510.475
11/27/2012,19:30,7795.2,18525.084,3840,30160.284
11/27/2012,19:45,7872,18350.685,3936,30158.685
11/27/2012,20:00,7948.8,17934.735,3936,29819.535
11/27/2012,20:15,7910.4,17629.354,3840,29379.754
11/27/2012,20:30,7910.4,17417.465,3840,29167.865
11/27/2012,20:45,7872,17051.869,3648,28571.869
11/27/2012,21:00,7833.6,16759.292,3552,28144.892
11/27/2012,21:15,7718.4,16484.294,3504,27706.694
11/27/2012,21:30,7449.6,15936.351,3312,26697.951
11/27/2012,21:45,7257.6,15553.762,3312,26123.362
