BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
06/26/2012,00:15,5299.2,11097.815,6000,22397.015
06/26/2012,00:30,5145.6,10814.817,6144,22104.417
06/26/2012,00:45,4992,10546.573,6096,21634.573
06/26/2012,01:00,4992,10414.063,6096,21502.063
06/26/2012,01:15,4876.8,10252.347,6000,21129.147
06/26/2012,01:30,4876.8,10059.574,5808,20744.374
06/26/2012,01:45,4761.6,9892.708,5760,20414.308
06/26/2012,02:00,4723.2,9758.227,5712,20193.427
06/26/2012,02:15,4608,9630.387,5712,19950.387
06/26/2012,02:30,4608,9549.434,5712,19869.434
06/26/2012,02:45,4492.8,9366.138,5808,19666.938
06/26/2012,03:00,4416,9258.768,5856,19530.768
06/26/2012,03:15,4377.6,9152.134,5760,19289.734
06/26/2012,03:30,4339.2,9089.33,5808,19236.53
06/26/2012,03:45,4339.2,8992.291,5856,19187.491
06/26/2012,04:00,4339.2,9004.521,5904,19247.721
06/26/2012,04:15,4454.4,9093.876,5808,19356.276
06/26/2012,04:30,4608,9261.748,5808,19677.748
06/26/2012,04:45,4684.8,9366.419,5904,19955.219
06/26/2012,05:00,4800,9513.328,5664,19977.328
06/26/2012,05:15,4953.6,9749.097,4848,19550.697
06/26/2012,05:30,5184,10094.631,4752,20030.631
06/26/2012,05:45,5107.2,10160.624,4848,20115.824
06/26/2012,06:00,4800,9998.539,4704,19502.539
06/26/2012,06:15,4492.8,9738.11,4608,18838.91
06/26/2012,06:30,4224,9607.371,4512,18343.371
06/26/2012,06:45,3993.6,9484.867,4368,17846.467
06/26/2012,07:00,3916.8,9591.036,4176,17683.836
06/26/2012,07:15,3916.8,9951.802,4128,17996.602
06/26/2012,07:30,3955.2,10466.268,3696,18117.468
06/26/2012,07:45,4032,11129.037,3456,18617.037
06/26/2012,08:00,4185.6,12109.312,3696,19990.912
06/26/2012,08:15,4339.2,13368.053,3888,21595.253
06/26/2012,08:30,4569.6,14290.903,3984,22844.503
06/26/2012,08:45,4723.2,15150.262,4272,24145.462
06/26/2012,09:00,4800,16175.449,4272,25247.449
06/26/2012,09:15,4915.2,17024.597,4272,26211.797
06/26/2012,09:30,4953.6,17492.078,4512,26957.678
06/26/2012,09:45,5030.4,17815.386,4464,27309.786
06/26/2012,10:00,5107.2,18057.988,4368,27533.188
06/26/2012,10:15,5145.6,18379.947,4368,27893.547
06/26/2012,10:30,5260.8,18593.341,4848,28702.141
06/26/2012,10:45,5452.8,18819.847,5184,29456.647
06/26/2012,11:00,5529.6,19129.458,5184,29843.058
06/26/2012,11:15,5568,19444.455,5424,30436.455
06/26/2012,11:30,5568,19660.851,5376,30604.851
06/26/2012,11:45,5606.4,19717.087,5376,30699.487
06/26/2012,12:00,5606.4,19627.45,5232,30465.85
06/26/2012,12:15,5644.8,19432.776,5136,30213.576
06/26/2012,12:30,5683.2,19513.824,5184,30381.024
06/26/2012,12:45,5644.8,19666.033,5328,30638.833
06/26/2012,13:00,5721.6,19914.763,5376,31012.363
06/26/2012,13:15,5875.2,20207.425,5712,31794.625
06/26/2012,13:30,5836.8,20265.836,5808,31910.636
06/26/2012,13:45,5836.8,20395.629,5760,31992.429
06/26/2012,14:00,5798.4,20265.112,5712,31775.512
06/26/2012,14:15,5836.8,20225.74,5712,31774.54
06/26/2012,14:30,5721.6,20206.197,5760,31687.797
06/26/2012,14:45,5683.2,20096.915,5664,31444.115
06/26/2012,15:00,5529.6,19896.265,5568,30993.865
06/26/2012,15:15,5529.6,19831.163,5376,30736.763
06/26/2012,15:30,5568,19749.85,5520,30837.85
06/26/2012,15:45,5606.4,19855.942,5664,31126.342
06/26/2012,16:00,5568,19579.198,5760,30907.198
06/26/2012,16:15,5452.8,19403.42,5664,30520.22
06/26/2012,16:30,5376,19251.449,5712,30339.449
06/26/2012,16:45,5414.4,19072.553,5760,30246.953
06/26/2012,17:00,5299.2,18675.009,5568,29542.209
06/26/2012,17:15,5299.2,18017.138,5424,28740.338
06/26/2012,17:30,5414.4,17771.969,5232,28418.369
06/26/2012,17:45,5568,17609.273,5232,28409.273
06/26/2012,18:00,5913.6,17732.106,5136,28781.706
06/26/2012,18:15,6604.8,18496.53,6096,31197.33
06/26/2012,18:30,7142.4,18861.408,6384,32387.808
06/26/2012,18:45,7372.8,18661.378,6528,32562.178
06/26/2012,19:00,7488,17759.567,6576,31823.567
06/26/2012,19:15,7449.6,17153.852,6672,31275.452
06/26/2012,19:30,7564.8,16766.207,6768,31099.007
06/26/2012,19:45,7603.2,16318.371,6768,30689.571
06/26/2012,20:00,7641.6,15969.05,6768,30378.65
06/26/2012,20:15,7718.4,15817.703,6480,30016.103
06/26/2012,20:30,7718.4,15629.296,6384,29731.696
06/26/2012,20:45,7756.8,15487.269,6288,29532.069
06/26/2012,21:00,7756.8,15345.985,6288,29390.785
06/26/2012,21:15,7680,15120.274,6336,29136.274
06/26/2012,21:30,7641.6,14963.505,6384,28989.105
06/26/2012,21:45,7488,14648.398,6288,28424.398
06/26/2012,22:00,7372.8,14311.049,6336,28019.849
06/26/2012,22:15,7142.4,13947.764,6192,27282.164
06/26/2012,22:30,6912,13584.842,6144,26640.842
06/26/2012,22:45,6643.2,13122.394,6240,26005.594
06/26/2012,23:00,6412.8,12817.636,6000,25230.436
06/26/2012,23:15,6220.8,12424.692,5856,24501.492
06/26/2012,23:30,5990.4,12054.537,5856,23900.937
06/26/2012,23:45,5760,11738.87,5808,23306.87
06/27/2012,00:00,5721.6,11457.917,5760,22939.517
06/27/2012,00:15,5529.6,11152.581,5856,22538.181
06/27/2012,00:30,5414.4,10965.431,5808,22187.831
06/27/2012,00:45,5299.2,10727.974,5712,21739.174
06/27/2012,01:00,5145.6,10577.532,5712,21435.132
06/27/2012,01:15,5068.8,10388.134,5616,21072.934
06/27/2012,01:30,4953.6,10191.037,5664,20808.637
06/27/2012,01:45,4876.8,10063.647,5760,20700.447
06/27/2012,02:00,4838.4,9965.755,5856,20660.155
06/27/2012,02:15,4723.2,9767.277,5664,20154.477
06/27/2012,02:30,4684.8,9618.085,5568,19870.885
06/27/2012,02:45,4608,9524.767,5664,19796.767
06/27/2012,03:00,4531.2,9364.271,5616,19511.471
06/27/2012,03:15,4492.8,9279.373,5664,19436.173
06/27/2012,03:30,4416,9185.365,5712,19313.365
06/27/2012,03:45,4377.6,9103.317,5712,19192.917
06/27/2012,04:00,4416,9076.116,5664,19156.116
06/27/2012,04:15,4492.8,9152.667,5760,19405.467
06/27/2012,04:30,4569.6,9255.204,5808,19632.804
06/27/2012,04:45,4723.2,9401.968,5808,19933.168
06/27/2012,05:00,4761.6,9564.392,5760,20085.992
06/27/2012,05:15,4992,9829.211,5712,20533.211
06/27/2012,05:30,5145.6,10112.061,5808,21065.661
06/27/2012,05:45,5107.2,10120.139,5760,20987.339
06/27/2012,06:00,4800,10043.552,5616,20459.552
06/27/2012,06:15,4569.6,9986.978,5664,20220.578
06/27/2012,06:30,4377.6,9944.703,5616,19938.303
06/27/2012,06:45,4185.6,9878.361,5568,19631.961
06/27/2012,07:00,4070.4,10042.669,5616,19729.069
06/27/2012,07:15,4032,10333.987,5568,19933.987
06/27/2012,07:30,4108.8,10921.453,5472,20502.253
06/27/2012,07:45,4185.6,11718.578,5520,21424.178
06/27/2012,08:00,4339.2,12677.506,5568,22584.706
06/27/2012,08:15,4531.2,14011.975,5568,24111.175
06/27/2012,08:30,4761.6,14926.158,5760,25447.758
06/27/2012,08:45,4838.4,15897.55,5952,26687.95
06/27/2012,09:00,4953.6,16593.147,6096,27642.747
06/27/2012,09:15,5030.4,17072.332,6096,28198.732
06/27/2012,09:30,5107.2,17369.712,6144,28620.912
06/27/2012,09:45,5145.6,17912.917,6240,29298.517
06/27/2012,10:00,5145.6,18104.692,6144,29394.292
06/27/2012,10:15,5222.4,18479.158,6000,29701.558
06/27/2012,10:30,5299.2,18743.33,6144,30186.53
06/27/2012,10:45,5337.6,18864.677,6336,30538.277
06/27/2012,11:00,5337.6,19052.238,6384,30773.838
06/27/2012,11:15,5452.8,19221.536,6096,30770.336
06/27/2012,11:30,5529.6,19334.593,6240,31104.193
06/27/2012,11:45,5529.6,19566.811,6384,31480.411
06/27/2012,12:00,5529.6,19378.459,6192,31100.059
06/27/2012,12:15,5452.8,19258.492,6048,30759.292
06/27/2012,12:30,5452.8,19308.912,6048,30809.712
06/27/2012,12:45,5491.2,19516.298,6048,31055.498
