BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
05/26/2012,00:15,6028.8,11332.307,4032,21393.107
05/26/2012,00:30,5875.2,11101.53,3936,20912.73
05/26/2012,00:45,5760,10888.093,3888,20536.093
05/26/2012,01:00,5644.8,10683.189,3840,20167.989
05/26/2012,01:15,5606.4,10523.108,3792,19921.508
05/26/2012,01:30,5491.2,10365.594,3792,19648.794
05/26/2012,01:45,5376,10192.057,3744,19312.057
05/26/2012,02:00,5299.2,9990.708,3744,19033.908
05/26/2012,02:15,5145.6,9846.208,3744,18735.808
05/26/2012,02:30,5107.2,9753.16,3696,18556.36
05/26/2012,02:45,5030.4,9613.539,3696,18339.939
05/26/2012,03:00,4953.6,9535.993,3648,18137.593
05/26/2012,03:15,4915.2,9455.318,3648,18018.518
05/26/2012,03:30,4838.4,9339.179,3600,17777.579
05/26/2012,03:45,4838.4,9270.717,3600,17709.117
05/26/2012,04:00,4761.6,9168.47,3648,17578.07
05/26/2012,04:15,4761.6,9120.983,3552,17434.583
05/26/2012,04:30,4761.6,9056.937,3552,17370.537
05/26/2012,04:45,4723.2,9056.366,3552,17331.566
05/26/2012,05:00,4723.2,9127.371,3552,17402.571
05/26/2012,05:15,4800,9215.087,3600,17615.087
05/26/2012,05:30,4800,9272.786,3504,17576.786
05/26/2012,05:45,4838.4,9371.868,3456,17666.268
05/26/2012,06:00,4800,9442.912,3408,17650.912
05/26/2012,06:15,4646.4,9398.188,3312,17356.588
05/26/2012,06:30,4684.8,9425.978,3408,17518.778
05/26/2012,06:45,4646.4,9518.092,3312,17476.492
05/26/2012,07:00,4531.2,9633.954,3408,17573.154
05/26/2012,07:15,4531.2,9688.075,3312,17531.275
05/26/2012,07:30,4531.2,9776.67,3360,17667.87
05/26/2012,07:45,4569.6,9970.504,3408,17948.104
05/26/2012,08:00,4569.6,10375.351,3408,18352.951
05/26/2012,08:15,4646.4,11030.508,3504,19180.908
05/26/2012,08:30,4761.6,11776.784,3504,20042.384
05/26/2012,08:45,4800,12473.043,3648,20921.043
05/26/2012,09:00,4800,13531.437,3648,21979.437
05/26/2012,09:15,4876.8,14253.627,3696,22826.427
05/26/2012,09:30,4992,14779.808,3744,23515.808
05/26/2012,09:45,5145.6,15079.155,3696,23920.755
05/26/2012,10:00,5222.4,15510.267,3696,24428.667
05/26/2012,10:15,5337.6,15941.163,3648,24926.763
05/26/2012,10:30,5414.4,16285.201,3840,25539.601
05/26/2012,10:45,5491.2,16529.107,3888,25908.307
05/26/2012,11:00,5606.4,16796.825,3936,26339.225
05/26/2012,11:15,5683.2,16973.446,3840,26496.646
05/26/2012,11:30,5798.4,17169.724,3888,26856.124
05/26/2012,11:45,5875.2,17283.166,3840,26998.366
05/26/2012,12:00,5798.4,17129.174,3744,26671.574
05/26/2012,12:15,5836.8,16940.671,3648,26425.471
05/26/2012,12:30,5836.8,16894.731,3648,26379.531
05/26/2012,12:45,5952,16973.169,3744,26669.169
05/26/2012,13:00,5952,17084.345,3744,26780.345
