BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
04/26/2012,00:15,6873.6,11139.179,4992,23004.779
04/26/2012,00:30,6604.8,10803.805,4896,22304.605
04/26/2012,00:45,6528,10637.915,4896,22061.915
04/26/2012,01:00,6412.8,10465.825,4944,21822.625
04/26/2012,01:15,6336,10326.856,4896,21558.856
04/26/2012,01:30,6220.8,10158.008,4896,21274.808
04/26/2012,01:45,6105.6,10014.553,4704,20824.153
04/26/2012,02:00,5952,9806,4608,20366
04/26/2012,02:15,5836.8,9695.173,4560,20091.973
04/26/2012,02:30,5721.6,9557.247,4512,19790.847
04/26/2012,02:45,5683.2,9456.721,4704,19843.921
04/26/2012,03:00,5683.2,9328.883,4800,19812.083
04/26/2012,03:15,5606.4,9266.686,4800,19673.086
04/26/2012,03:30,5529.6,9122.835,4800,19452.435
04/26/2012,03:45,5414.4,9057.433,4752,19223.833
04/26/2012,04:00,5414.4,8977.841,4704,19096.241
04/26/2012,04:15,5337.6,8961.05,4800,19098.65
04/26/2012,04:30,5337.6,9024.481,4848,19210.081
04/26/2012,04:45,5376,9033.367,4848,19257.367
04/26/2012,05:00,5376,9104.544,4848,19328.544
04/26/2012,05:15,5529.6,9180.414,4992,19702.014
04/26/2012,05:30,5644.8,9308.153,4848,19800.953
04/26/2012,05:45,5760,9440.785,4944,20144.785
04/26/2012,06:00,5798.4,9508.869,4800,20107.269
04/26/2012,06:15,5683.2,9810,4560,20053.2
04/26/2012,06:30,5491.2,9907.71,4656,20054.91
04/26/2012,06:45,5452.8,9976.397,4608,20037.197
04/26/2012,07:00,5376,10148.439,4560,20084.439
04/26/2012,07:15,5337.6,10250.906,3216,18804.506
04/26/2012,07:30,5337.6,9650.893,3072,18060.493
04/26/2012,07:45,5337.6,9608.097,3120,18065.697
04/26/2012,08:00,5414.4,10325.69,3120,18860.09
04/26/2012,08:15,5644.8,11409.627,3216,20270.427
04/26/2012,08:30,5760,12269.165,3216,21245.165
04/26/2012,08:45,6028.8,13227.169,3312,22567.969
04/26/2012,09:00,6144,14213.378,3312,23669.378
04/26/2012,09:15,6336,15023.997,3216,24575.997
04/26/2012,09:30,6144,15265.371,3120,24529.371
04/26/2012,09:45,5644.8,12950.24,3216,21811.04
04/26/2012,10:00,5683.2,12861.806,3072,21617.006
04/26/2012,10:15,5683.2,13065.657,2880,21628.857
04/26/2012,10:30,5798.4,13813.035,2976,22587.435
04/26/2012,10:45,5798.4,15354.681,4176,25329.081
04/26/2012,11:00,5952,15809.514,5328,27089.514
04/26/2012,11:15,5990.4,16050.155,5616,27656.555
