BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
10/26/2012,00:15,5107.2,10314.359,6576,21997.559
10/26/2012,00:30,5030.4,10077.52,6576,21683.92
10/26/2012,00:45,4876.8,9895.587,6576,21348.387
10/26/2012,01:00,4800,9764.375,6528,21092.375
10/26/2012,01:15,4723.2,9596.546,6624,20943.746
10/26/2012,01:30,4646.4,9442.948,6528,20617.348
10/26/2012,01:45,4569.6,9285.105,6576,20430.705
10/26/2012,02:00,4492.8,9071.617,6336,19900.417
10/26/2012,02:15,4416,8916.44,6192,19524.44
10/26/2012,02:30,4377.6,8802.4,6192,19372
10/26/2012,02:45,4262.4,8728.788,6144,19135.188
10/26/2012,03:00,4262.4,8646.469,6240,19148.869
10/26/2012,03:15,4224,8554.356,6384,19162.356
10/26/2012,03:30,4147.2,8463.587,6432,19042.787
10/26/2012,03:45,4147.2,8380.317,6432,18959.517
10/26/2012,04:00,4147.2,8353.53,6528,19028.73
10/26/2012,04:15,4147.2,8398.444,6480,19025.644
10/26/2012,04:30,4224,8392.865,6480,19096.865
10/26/2012,04:45,4185.6,8431.812,6528,19145.412
10/26/2012,05:00,4185.6,8550.59,6528,19264.19
10/26/2012,05:15,4339.2,8724.113,6528,19591.313
10/26/2012,05:30,4454.4,8906.958,6384,19745.358
10/26/2012,05:45,4569.6,9032.169,6336,19937.769
10/26/2012,06:00,4569.6,9049.578,6336,19955.178
10/26/2012,06:15,4531.2,9134.385,6384,20049.585
10/26/2012,06:30,4492.8,9224.83,6576,20293.63
10/26/2012,06:45,4377.6,9378.999,6576,20332.599
10/26/2012,07:00,4339.2,9535.396,6528,20402.596
10/26/2012,07:15,4300.8,9639.304,6528,20468.104
10/26/2012,07:30,4300.8,9770.335,6720,20791.135
10/26/2012,07:45,4377.6,10061.703,6768,21207.303
10/26/2012,08:00,4416,10525.485,6720,21661.485
10/26/2012,08:15,4531.2,11366.702,6720,22617.902
10/26/2012,08:30,4646.4,12079.913,6960,23686.313
10/26/2012,08:45,4723.2,12993.397,7008,24724.597
10/26/2012,09:00,4838.4,13782.114,6864,25484.514
10/26/2012,09:15,4838.4,14262.381,6960,26060.781
10/26/2012,09:30,4876.8,14553.908,6960,26390.708
10/26/2012,09:45,4992,14982.07,7056,27030.07
10/26/2012,10:00,5107.2,15201.6,7152,27460.8
10/26/2012,10:15,5145.6,15509.581,7008,27663.181
10/26/2012,10:30,5376,15801.31,7056,28233.31
10/26/2012,10:45,5452.8,16096.894,7248,28797.694
10/26/2012,11:00,5606.4,16424.421,7344,29374.821
10/26/2012,11:15,5760,16649.979,7440,29849.979
10/26/2012,11:30,5836.8,16773.475,7440,30050.275
10/26/2012,11:45,5836.8,16823.489,7488,30148.289
10/26/2012,12:00,5798.4,16709.334,7008,29515.734
10/26/2012,12:15,5760,16700.724,6816,29276.724
10/26/2012,12:30,5760,16796.469,6768,29324.469
10/26/2012,12:45,5760,16803.33,6864,29427.33
10/26/2012,13:00,5760,16964.447,6912,29636.447
10/26/2012,13:15,5836.8,17135.125,7008,29979.925
10/26/2012,13:30,5836.8,17123.958,7248,30208.758
10/26/2012,13:45,5836.8,17135.409,7200,30172.209
10/26/2012,14:00,5760,17197.688,7056,30013.688
10/26/2012,14:15,5683.2,17285.659,7104,30072.859
10/26/2012,14:30,5644.8,17257.82,7056,29958.62
10/26/2012,14:45,5606.4,17142.897,6816,29565.297
10/26/2012,15:00,5606.4,16922.647,6768,29297.047
10/26/2012,15:15,5606.4,16785.791,6816,29208.191
10/26/2012,15:30,5529.6,16712.163,6720,28961.763
10/26/2012,15:45,5529.6,16622.862,6816,28968.462
10/26/2012,16:00,5491.2,16560.449,6912,28963.649
10/26/2012,16:15,5491.2,16516.757,6864,28871.957
10/26/2012,16:30,5529.6,16402.425,6912,28844.025
10/26/2012,16:45,5529.6,16320.387,6912,28761.987
10/26/2012,17:00,5568,16416.894,6864,28848.894
10/26/2012,17:15,5913.6,16547.9,6912,29373.5
10/26/2012,17:30,6451.2,16909,7056,30416.2
10/26/2012,17:45,7027.2,17561.767,7248,31836.967
10/26/2012,18:00,7449.6,17971.623,7440,32861.223
10/26/2012,18:15,7526.4,17919.437,7488,32933.837
10/26/2012,18:30,7488,17439.431,7320,32247.431
10/26/2012,18:45,7411.2,16744.751,7152,31307.951
10/26/2012,19:00,7372.8,16228.995,7056,30657.795
10/26/2012,19:15,7372.8,15943.437,7344,30660.237
10/26/2012,19:30,7411.2,15759.75,7440,30610.95
10/26/2012,19:45,7449.6,15525.898,7392,30367.498
10/26/2012,20:00,7488,15272.312,7488,30248.312
10/26/2012,20:15,7449.6,15012.216,7488,29949.816
10/26/2012,20:30,7488,14872.598,7440,29800.598
10/26/2012,20:45,7488,14757.803,7392,29637.803
10/26/2012,21:00,7449.6,14587.714,7296,29333.314
10/26/2012,21:15,7488,14389.286,7152,29029.286
10/26/2012,21:30,7334.4,14164.079,7104,28602.479
10/26/2012,21:45,7180.8,13880.238,6960,28021.038
10/26/2012,22:00,7065.6,13643.013,6912,27620.613
10/26/2012,22:15,6873.6,13299.723,7056,27229.323
10/26/2012,22:30,6566.4,12924.233,7008,26498.633
