BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
09/26/2012,00:15,5491.2,11157.642,6624,23272.842
09/26/2012,00:30,5376,10941.7,6672,22989.7
09/26/2012,00:45,5299.2,10789.836,6624,22713.036
09/26/2012,01:00,5184,10638.44,6624,22446.44
09/26/2012,01:15,5145.6,10474.401,6672,22292.001
09/26/2012,01:30,5030.4,10337.89,6672,22040.29
09/26/2012,01:45,5030.4,10159.028,6720,21909.428
09/26/2012,02:00,4953.6,10046.276,6576,21575.876
09/26/2012,02:15,4838.4,9842.645,6336,21017.045
09/26/2012,02:30,4761.6,9735.021,6384,20880.621
09/26/2012,02:45,4723.2,9613.482,6384,20720.682
09/26/2012,03:00,4608,9525.286,6288,20421.286
09/26/2012,03:15,4569.6,9426.771,6384,20380.371
09/26/2012,03:30,4569.6,9344.538,6528,20442.138
09/26/2012,03:45,4531.2,9298.634,6480,20309.834
09/26/2012,04:00,4531.2,9277.372,6528,20336.572
09/26/2012,04:15,4646.4,9324.745,6624,20595.145
09/26/2012,04:30,4723.2,9434.886,6768,20926.086
09/26/2012,04:45,4838.4,9614.34,6816,21268.74
09/26/2012,05:00,4953.6,9798.072,6864,21615.672
09/26/2012,05:15,5184,10055.743,6816,22055.743
09/26/2012,05:30,5376,10382.514,6768,22526.514
09/26/2012,05:45,5414.4,10659.253,6816,22889.653
09/26/2012,06:00,5299.2,10693.982,6576,22569.182
09/26/2012,06:15,5030.4,10569.273,6624,22223.673
09/26/2012,06:30,4761.6,10538.663,6576,21876.263
09/26/2012,06:45,4492.8,10431.197,6672,21595.997
09/26/2012,07:00,4377.6,10406.416,6672,21456.016
09/26/2012,07:15,4224,10572.83,6672,21468.83
09/26/2012,07:30,4300.8,10940.48,6672,21913.28
09/26/2012,07:45,4339.2,11623.159,6720,22682.359
09/26/2012,08:00,4454.4,12366.69,6768,23589.09
09/26/2012,08:15,4684.8,13539.122,6864,25087.922
09/26/2012,08:30,4876.8,14706.123,6912,26494.923
