BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
08/26/2012,00:15,5452.8,11353.609,6240,23046.409
08/26/2012,00:30,5376,11142.391,6336,22854.391
08/26/2012,00:45,5260.8,10929.629,6384,22574.429
08/26/2012,01:00,5145.6,10710.716,6240,22096.316
08/26/2012,01:15,5107.2,10568.989,6240,21916.189
08/26/2012,01:30,5030.4,10423.309,6096,21549.709
08/26/2012,01:45,4953.6,10284.255,6144,21381.855
08/26/2012,02:00,4876.8,10130.487,6096,21103.287
08/26/2012,02:15,4838.4,10014.228,6048,20900.628
08/26/2012,02:30,4800,9881.529,6144,20825.529
08/26/2012,02:45,4723.2,9764.004,6288,20775.204
08/26/2012,03:00,4646.4,9645.333,6240,20531.733
08/26/2012,03:15,4608,9552.435,6192,20352.435
08/26/2012,03:30,4531.2,9422.271,5904,19857.471
08/26/2012,03:45,4454.4,9313.455,5952,19719.855
08/26/2012,04:00,4454.4,9262.011,6048,19764.411
08/26/2012,04:15,4416,9215.285,6000,19631.285
08/26/2012,04:30,4454.4,9192.461,6000,19646.861
08/26/2012,04:45,4377.6,9172.353,5952,19501.953
08/26/2012,05:00,4416,9256.892,5952,19624.892
08/26/2012,05:15,4416,9327.347,6096,19839.347
08/26/2012,05:30,4492.8,9331.847,6096,19920.647
08/26/2012,05:45,4492.8,9283.962,6144,19920.762
08/26/2012,06:00,4531.2,9343.806,6048,19923.006
08/26/2012,06:15,4492.8,9393.636,5952,19838.436
08/26/2012,06:30,4454.4,9569.568,6000,20023.968
08/26/2012,06:45,4492.8,9577.808,5952,20022.608
08/26/2012,07:00,4454.4,9601.53,5952,20007.93
08/26/2012,07:15,4416,9740.591,5952,20108.591
08/26/2012,07:30,4492.8,9898.288,6192,20583.088
08/26/2012,07:45,4569.6,10072.912,6288,20930.512
08/26/2012,08:00,4608,10440.617,6096,21144.617
08/26/2012,08:15,4684.8,10940.847,6384,22009.647
08/26/2012,08:30,4723.2,11504.83,6336,22564.03
08/26/2012,08:45,4761.6,12164.371,6336,23261.971
08/26/2012,09:00,4761.6,12893.336,6384,24038.936
08/26/2012,09:15,4876.8,13331.293,6336,24544.093
08/26/2012,09:30,4876.8,13623.972,6144,24644.772
08/26/2012,09:45,4953.6,13925.199,5952,24830.799
08/26/2012,10:00,5030.4,14102.619,6048,25181.019
08/26/2012,10:15,5030.4,14491.695,5952,25474.095
08/26/2012,10:30,5107.2,14687.654,5952,25746.854
08/26/2012,10:45,5184,14810.688,6192,26186.688
08/26/2012,11:00,5299.2,15047.878,6240,26587.078
08/26/2012,11:15,5376,15215.402,6192,26783.402
08/26/2012,11:30,5491.2,15350.209,6240,27081.409
08/26/2012,11:45,5529.6,15372.441,6144,27046.041
08/26/2012,12:00,5491.2,15368.236,6048,26907.436
08/26/2012,12:15,5529.6,15407.766,6048,26985.366
08/26/2012,12:30,5529.6,15349.849,5760,26639.449
08/26/2012,12:45,5606.4,15514.671,5952,27073.071
08/26/2012,13:00,5568,15599.987,6192,27359.987
08/26/2012,13:15,5721.6,15779.398,6144,27644.998
08/26/2012,13:30,5836.8,15446.245,6144,27427.045
08/26/2012,13:45,5913.6,15569.398,6192,27674.998
08/26/2012,14:00,5913.6,15869.392,6144,27926.992
08/26/2012,14:15,5913.6,16042.982,6144,28100.582
08/26/2012,14:30,5875.2,16003.772,6192,28070.972
08/26/2012,14:45,5798.4,15959.182,6240,27997.582
08/26/2012,15:00,5721.6,15884.569,6144,27750.169
08/26/2012,15:15,5568,15779.807,5952,27299.807
08/26/2012,15:30,5414.4,15562.15,5952,26928.55
08/26/2012,15:45,5337.6,15445.677,5952,26735.277
08/26/2012,16:00,5414.4,15347.446,6096,26857.846
08/26/2012,16:15,5529.6,15668.917,6192,27390.517
08/26/2012,16:30,5683.2,15949.377,6576,28208.577
08/26/2012,16:45,5798.4,15765.383,6528,28091.783
08/26/2012,17:00,5875.2,15546.002,6192,27613.202
08/26/2012,17:15,5836.8,15587.528,6432,27856.328
