BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
12/26/2012,00:15,4992,4512,9883.844,19387.844
12/26/2012,00:30,4838.4,4416,9663.715,18918.115
12/26/2012,00:45,4761.6,4368,9495.312,18624.912
12/26/2012,01:00,4646.4,4416,9370.401,18432.801
12/26/2012,01:15,4608,4464,9232.407,18304.407
12/26/2012,01:30,4531.2,4416,9094.2,18041.4
12/26/2012,01:45,4454.4,4368,8981.824,17804.224
12/26/2012,02:00,4454.4,4320,8897.737,17672.137
12/26/2012,02:15,4377.6,4368,8748.757,17494.357
12/26/2012,02:30,4300.8,4368,8625.056,17293.856
12/26/2012,02:45,4300.8,4224,8552.155,17076.955
12/26/2012,03:00,4224,4176,8515.285,16915.285
12/26/2012,03:15,4224,4128,8439.279,16791.279
12/26/2012,03:30,4185.6,4176,8368.092,16729.692
12/26/2012,03:45,4185.6,4224,8279.554,16689.154
12/26/2012,04:00,4147.2,4320,8240.004,16707.204
12/26/2012,04:15,4108.8,4320,8254.295,16683.095
12/26/2012,04:30,4108.8,4272,8295.59,16676.39
12/26/2012,04:45,4147.2,4272,8306.497,16725.697
12/26/2012,05:00,4185.6,4320,8354.752,16860.352
12/26/2012,05:15,4262.4,4368,8441.137,17071.537
12/26/2012,05:30,4339.2,4416,8616.721,17371.921
12/26/2012,05:45,4339.2,4464,8763.52,17566.72
12/26/2012,06:00,4492.8,4368,8982.049,17842.849
12/26/2012,06:15,4569.6,4176,9160.722,17906.322
12/26/2012,06:30,4608,4272,9322.846,18202.846
12/26/2012,06:45,4646.4,4368,9481.894,18496.294
12/26/2012,07:00,4646.4,4512,9665.076,18823.476
12/26/2012,07:15,4569.6,4752,9856.934,19178.534
12/26/2012,07:30,4569.6,4896,10018.244,19483.844
12/26/2012,07:45,4646.4,4896,10335.596,19877.996
12/26/2012,08:00,4723.2,4848,10891.559,20462.759
12/26/2012,08:15,4838.4,4992,11791.522,21621.922
12/26/2012,08:30,4953.6,5232,12806.966,22992.566
12/26/2012,08:45,5068.8,5424,13755.52,24248.32
12/26/2012,09:00,5260.8,5568,14899.178,25727.978
12/26/2012,09:15,5299.2,5376,15548.051,26223.251
12/26/2012,09:30,5222.4,5376,16063.921,26662.321
12/26/2012,09:45,5299.2,5472,16377.928,27149.128
12/26/2012,10:00,5337.6,5424,16672.309,27433.909
12/26/2012,10:15,5414.4,5376,16959.345,27749.745
12/26/2012,10:30,5491.2,5520,17153.273,28164.473
12/26/2012,10:45,5568,5520,17346.327,28434.327
12/26/2012,11:00,5606.4,5664,17484.432,28754.832
12/26/2012,11:15,5683.2,5520,17833.943,29037.143
12/26/2012,11:30,5798.4,4656,18203.683,28658.083
12/26/2012,11:45,5798.4,4176,18370.33,28344.73
12/26/2012,12:00,5760,3888,18300.681,27948.681
12/26/2012,12:15,5798.4,5136,17980.699,28915.099
12/26/2012,12:30,5683.2,6048,17927.281,29658.481
12/26/2012,12:45,5721.6,6048,17959.542,29729.142
12/26/2012,13:00,5760,6288,18055.39,30103.39
12/26/2012,13:15,5760,6624,18197.811,30581.811
12/26/2012,13:30,5721.6,6528,18327.325,30576.925
12/26/2012,13:45,5721.6,6576,18566.538,30864.138
12/26/2012,14:00,5760,6480,18574.541,30814.541
12/26/2012,14:15,5721.6,6672,18449.421,30843.021
12/26/2012,14:30,5644.8,6768,18350.241,30763.041
12/26/2012,14:45,5683.2,6864,18194.29,30741.49
12/26/2012,15:00,5529.6,6672,17977.766,30179.366
12/26/2012,15:15,5491.2,6672,17921.039,30084.239
12/26/2012,15:30,5568,6672,17846.316,30086.316
12/26/2012,15:45,5568,6720,17844.971,30132.971
12/26/2012,16:00,5721.6,6624,17945.307,30290.907
12/26/2012,16:15,5798.4,6480,18046.353,30324.753
12/26/2012,16:30,6144,6624,18393.443,31161.443
12/26/2012,16:45,6374.4,6768,18699.415,31841.815
12/26/2012,17:00,6681.6,6672,18612.303,31965.903
12/26/2012,17:15,6873.6,6816,18419.667,32109.267
12/26/2012,17:30,7065.6,6864,18578.498,32508.098
12/26/2012,17:45,7257.6,7008,18861.909,33127.509
12/26/2012,18:00,7411.2,7008,18930.805,33350.005
12/26/2012,18:15,7449.6,6912,18790.966,33152.566
12/26/2012,18:30,7449.6,6912,18693.011,33054.611
12/26/2012,18:45,7411.2,6912,18080.838,32404.038
12/26/2012,19:00,7449.6,6720,17274.494,31444.094
12/26/2012,19:15,7449.6,6816,16689.247,30954.847
12/26/2012,19:30,7449.6,6768,16349.712,30567.312
12/26/2012,19:45,7449.6,6864,16096.894,30410.494
12/26/2012,20:00,7449.6,6816,15667.562,29933.162
12/26/2012,20:15,7411.2,6816,15266.347,29493.547
12/26/2012,20:30,7449.6,6816,15169.474,29435.074
12/26/2012,20:45,7334.4,6768,15008.164,29110.564
12/26/2012,21:00,7257.6,6816,14754.146,28827.746
12/26/2012,21:15,7027.2,6768,14385.278,28180.478
12/26/2012,21:30,6988.8,6576,14092.582,27657.382
12/26/2012,21:45,6796.8,6480,13767.127,27043.927
12/26/2012,22:00,6643.2,6432,13449.629,26524.829
12/26/2012,22:15,6528,6384,13132.805,26044.805
12/26/2012,22:30,6297.6,6528,12700.77,25526.37
12/26/2012,22:45,6105.6,6384,12382.771,24872.371
12/26/2012,23:00,5952,6336,12073.965,24361.965
