BDATE,TIME,KW_DEL_1,KW_DEL_2,KW_DEL_3,KW_DEL_SUM
07/26/2014,00:15,3801.6,576,14204.399,18581.999
07/26/2014,00:30,3686.4,624,13910.399,18220.799
07/26/2014,00:45,3609.6,576,13733.999,17919.599
07/26/2014,01:00,3571.2,528,13490.399,17589.599
07/26/2014,01:15,3494.4,336,13297.199,17127.599
07/26/2014,01:30,3456,240,13162.799,16858.799
07/26/2014,01:45,3379.2,192,12969.599,16540.799
07/26/2014,02:00,3340.8,192,12826.799,16359.599
07/26/2014,02:15,3379.2,192,12742.799,16313.999
07/26/2014,02:30,3302.4,192,12658.799,16153.199
07/26/2014,02:45,3264,192,12499.199,15955.199
07/26/2014,03:00,3264,192,12381.599,15837.599
07/26/2014,03:15,3225.6,144,12314.399,15683.999
07/26/2014,03:30,3148.8,192,12112.799,15453.599
07/26/2014,03:45,3110.4,192,11953.199,15255.599
07/26/2014,04:00,3033.6,192,11835.599,15061.199
07/26/2014,04:15,3033.6,192,11759.999,14985.599
07/26/2014,04:30,3033.6,192,11793.599,15019.199
07/26/2014,04:45,2995.2,192,11768.399,14955.599
07/26/2014,05:00,3072,144,11810.399,15026.399
07/26/2014,05:15,3072,192,11953.199,15217.199
07/26/2014,05:30,3148.8,192,12129.599,15470.399
07/26/2014,05:45,3187.2,192,12406.799,15785.999
07/26/2014,06:00,3225.6,192,12583.199,16000.799
07/26/2014,06:15,3302.4,144,12776.399,16222.799
07/26/2014,06:30,3225.6,192,12986.399,16403.999
07/26/2014,06:45,3302.4,144,13011.599,16457.999
07/26/2014,07:00,3225.6,144,13087.199,16456.799
07/26/2014,07:15,3264,144,13246.799,16654.799
07/26/2014,07:30,3225.6,192,13406.399,16823.999
07/26/2014,07:45,3187.2,144,13624.799,16955.999
07/26/2014,08:00,3187.2,144,14002.799,17333.999
07/26/2014,08:15,3225.6,144,14573.999,17943.599
07/26/2014,08:30,3264,192,15481.199,18937.199
07/26/2014,08:45,3264,288,16262.399,19814.399
07/26/2014,09:00,3302.4,240,17110.799,20653.199
07/26/2014,09:15,3302.4,240,17774.399,21316.799
07/26/2014,09:30,3302.4,240,18093.599,21635.999
07/26/2014,09:45,3340.8,240,18513.599,22094.399
07/26/2014,10:00,3379.2,240,18849.599,22468.799
07/26/2014,10:15,3456,192,19059.599,22707.599
07/26/2014,10:30,3532.8,288,19269.599,23090.399
07/26/2014,10:45,3532.8,336,19429.199,23297.999
07/26/2014,11:00,3571.2,336,19613.999,23521.199
07/26/2014,11:15,3648,288,19765.199,23701.199
07/26/2014,11:30,3648,240,19966.799,23854.799
07/26/2014,11:45,3648,240,19933.199,23821.199
07/26/2014,12:00,3648,192,19605.599,23445.599
07/26/2014,12:15,3686.4,144,19160.399,22990.799
07/26/2014,12:30,3648,192,18983.999,22823.999
07/26/2014,12:45,3609.6,144,18916.799,22670.399
07/26/2014,13:00,3686.4,144,18983.999,22814.399
07/26/2014,13:15,3648,192,19487.999,23327.999
07/26/2014,13:30,3648,288,19655.999,23591.999
07/26/2014,13:45,3648,336,19655.999,23639.999
07/26/2014,14:00,3648,288,19849.199,23785.199
07/26/2014,14:15,3609.6,336,19706.399,23651.999
07/26/2014,14:30,3648,288,19613.999,23549.999
07/26/2014,14:45,3571.2,240,19613.999,23425.199
07/26/2014,15:00,3571.2,240,19395.599,23206.799
07/26/2014,15:15,3532.8,240,19361.999,23134.799
07/26/2014,15:30,3571.2,288,19319.999,23179.199
07/26/2014,15:45,3571.2,288,19378.799,23237.999
07/26/2014,16:00,3571.2,288,19412.399,23271.599
07/26/2014,16:15,3609.6,240,19445.999,23295.599
07/26/2014,16:30,3686.4,240,19655.999,23582.399
07/26/2014,16:45,3763.2,240,19840.799,23843.999
07/26/2014,17:00,3878.4,192,19765.199,23835.599
07/26/2014,17:15,3916.8,192,19849.199,23957.999
07/26/2014,17:30,4147.2,144,20059.199,24350.399
07/26/2014,17:45,4262.4,144,20294.399,24700.799
07/26/2014,18:00,4569.6,144,20815.199,25528.799
07/26/2014,18:15,4800,144,21209.999,26153.999
07/26/2014,18:30,4992,144,21428.399,26564.399
07/26/2014,18:45,5107.2,144,21159.599,26410.799
07/26/2014,19:00,5184,144,20731.199,26059.199
07/26/2014,19:15,5145.6,144,20369.999,25659.599
07/26/2014,19:30,5145.6,144,20101.199,25390.799
07/26/2014,19:45,4377.6,144,18547.199,23068.799
07/26/2014,20:00,4185.6,144,17917.199,22246.799
07/26/2014,20:15,4377.6,96,17791.199,22264.799
07/26/2014,20:30,4416,144,17883.599,22443.599
07/26/2014,20:45,4416,144,17849.999,22409.999
07/26/2014,21:00,4108.8,144,17791.199,22043.999
07/26/2014,21:15,4147.2,96,17698.799,21941.999
07/26/2014,21:30,4224,144,17421.599,21789.599
07/26/2014,21:45,4147.2,144,17194.799,21485.999
07/26/2014,22:00,4147.2,96,16942.799,21185.999
07/26/2014,22:15,4070.4,144,16606.799,20821.199
07/26/2014,22:30,3916.8,144,15985.199,20045.999
07/26/2014,22:45,3840,144,15523.199,19507.199
07/26/2014,23:00,3724.8,144,15212.399,19081.199
07/26/2014,23:15,3724.8,96,14851.199,18671.999
07/26/2014,23:30,3763.2,144,14237.999,18145.199
07/26/2014,23:45,3648,144,13817.999,17609.999
07/27/2014,00:00,3571.2,96,13439.999,17107.199
07/27/2014,00:15,3494.4,144,13137.599,16775.999
07/27/2014,00:30,3417.6,96,12784.799,16298.399
07/27/2014,00:45,3302.4,144,12566.399,16012.799
07/27/2014,01:00,3302.4,144,12373.199,15819.599
07/27/2014,01:15,3225.6,96,12196.799,15518.399
07/27/2014,01:30,3187.2,144,12095.999,15427.199
07/27/2014,01:45,3148.8,144,11978.399,15271.199
07/27/2014,02:00,3148.8,96,11827.199,15071.999
07/27/2014,02:15,3110.4,144,11692.799,14947.199
07/27/2014,02:30,3110.4,144,11549.999,14804.399
07/27/2014,02:45,3033.6,96,11440.799,14570.399
07/27/2014,03:00,3033.6,144,11339.999,14517.599
07/27/2014,03:15,3033.6,144,11281.199,14458.799
07/27/2014,03:30,2995.2,96,11113.199,14204.399
07/27/2014,03:45,2918.4,144,10978.8,14041.2
07/27/2014,04:00,2918.4,96,10878,13892.4
07/27/2014,04:15,2918.4,144,10878,13940.4
07/27/2014,04:30,2880,144,10911.6,13935.6
07/27/2014,04:45,2956.8,96,10920,13972.8
07/27/2014,05:00,2918.4,144,11029.199,14091.599
07/27/2014,05:15,2956.8,144,11306.399,14407.199
07/27/2014,05:30,2995.2,96,11482.799,14573.999
07/27/2014,05:45,3033.6,96,11575.199,14704.799
07/27/2014,06:00,3072,96,11650.799,14818.799
07/27/2014,06:15,3072,48,11894.399,15014.399
07/27/2014,06:30,3148.8,96,12112.799,15357.599
07/27/2014,06:45,3148.8,96,12213.599,15458.399
07/27/2014,07:00,3110.4,96,12415.199,15621.599
07/27/2014,07:15,3110.4,96,12566.399,15772.799
07/27/2014,07:30,3148.8,96,12784.799,16029.599
07/27/2014,07:45,3187.2,144,12776.399,16107.599
07/27/2014,08:00,3148.8,96,12902.399,16147.199
07/27/2014,08:15,3148.8,96,13431.599,16676.399
07/27/2014,08:30,3148.8,144,14137.199,17429.999
07/27/2014,08:45,3110.4,96,14792.399,17998.799
07/27/2014,09:00,3148.8,96,14960.399,18205.199
07/27/2014,09:15,3110.4,144,15170.399,18424.799
07/27/2014,09:30,3148.8,96,15413.999,18658.799
07/27/2014,09:45,3187.2,144,15808.799,19139.999
07/27/2014,10:00,3148.8,96,15959.999,19204.799
07/27/2014,10:15,3225.6,96,16228.799,19550.399
07/27/2014,10:30,3264,144,16321.199,19729.199
07/27/2014,10:45,3302.4,96,16489.199,19887.599
07/27/2014,11:00,3379.2,96,16657.199,20132.399
07/27/2014,11:15,3417.6,144,16825.199,20386.799
07/27/2014,11:30,3417.6,96,16993.199,20506.799
07/27/2014,11:45,3417.6,96,17018.399,20531.999
07/27/2014,12:00,3456,144,16816.799,20416.799
07/27/2014,12:15,3417.6,96,16673.999,20187.599
07/27/2014,12:30,3379.2,96,16472.399,19947.599
07/27/2014,12:45,3340.8,144,16514.399,19999.199
07/27/2014,13:00,3417.6,96,16547.999,20061.599
07/27/2014,13:15,3379.2,96,16707.599,20182.799
07/27/2014,13:30,3417.6,96,16808.399,20321.999
07/27/2014,13:45,3417.6,144,16883.999,20445.599
07/27/2014,14:00,3456,96,16984.799,20536.799
07/27/2014,14:15,3379.2,96,16892.399,20367.599
07/27/2014,14:30,3379.2,96,16867.199,20342.399
07/27/2014,14:45,3379.2,144,16883.999,20407.199
07/27/2014,15:00,3340.8,96,16875.599,20312.399
07/27/2014,15:15,3379.2,96,16900.799,20375.999
07/27/2014,15:30,3379.2,96,16858.799,20333.999
07/27/2014,15:45,3379.2,96,16959.599,20434.799
07/27/2014,16:00,3417.6,144,17152.799,20714.399
07/27/2014,16:15,3494.4,96,17245.199,20835.599
07/27/2014,16:30,3532.8,96,17337.599,20966.399
07/27/2014,16:45,3571.2,96,17396.399,21063.599
07/27/2014,17:00,3571.2,96,17396.399,21063.599
07/27/2014,17:15,3724.8,96,17530.799,21351.599
07/27/2014,17:30,3801.6,96,17774.399,21671.999
